lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
22,0,97.6,8,31,4,2,0,0,0,1
23,1,129.0,4,16,4,1,1,0,3,1
34,0,224.67,9,23,3,3,0,1,0,0
142,1,138.55,8,8,4,4,1,0,3,1
53,2,99.9,6,20,4,3,1,0,0,1
275,0,106.2,10,1,4,1,2,0,0,0
19,0,110.0,6,22,2,2,0,0,0,1
275,0,110.0,4,17,3,0,2,1,0,0
117,0,79.2,11,13,4,0,2,3,0,1
58,1,66.53,10,30,4,2,0,3,0,1
0,0,115.8,9,7,4,3,1,0,0,1
71,0,120.0,6,14,3,3,0,0,0,1
34,2,117.0,9,25,4,1,2,0,0,1
2,0,100.0,9,11,2,2,0,0,0,1
13,1,85.47,5,9,4,1,1,0,0,1
6,0,98.0,8,14,4,1,0,0,0,1
36,0,139.14,9,24,4,3,2,0,3,0
5,2,65.0,7,18,2,1,1,0,0,1
66,0,89.1,4,2,4,1,2,0,0,0
160,1,129.0,6,17,4,2,1,0,3,0
30,0,82.0,11,16,4,2,0,3,0,1
3,0,65.0,9,19,2,0,1,0,0,1
349,0,96.67,10,4,3,5,1,0,0,1
24,0,80.0,11,13,3,1,2,0,0,1
46,1,99.0,9,1,4,2,0,3,0,1
0,0,106.4,6,27,3,0,1,0,0,1
3,0,128.0,10,2,4,2,2,0,0,1
57,1,90.67,6,10,3,2,1,0,0,1
8,1,103.0,3,11,4,2,1,0,1,1
45,0,98.1,12,8,3,2,0,0,0,1
1,1,95.48,6,22,4,1,0,3,0,1
168,0,130.05,8,1,4,4,1,0,3,0
16,1,134.8,6,27,4,0,1,0,0,1
443,0,65.0,4,29,4,1,0,0,0,0
12,1,151.0,8,12,4,5,2,0,0,1
27,0,139.0,9,16,4,2,0,3,0,1
4,1,0.0,11,19,1,1,0,0,3,1
63,1,105.3,4,22,4,2,1,0,0,0
30,2,94.5,10,7,4,3,0,0,0,1
1,0,59.75,1,8,4,3,2,0,3,1
21,1,136.0,4,11,4,2,1,0,3,1
17,0,95.0,10,3,2,1,1,0,0,1
280,0,110.0,9,19,3,2,1,0,0,0
28,2,75.0,9,27,3,1,0,0,0,1
256,1,83.18,10,18,4,5,2,3,0,0
150,0,123.3,7,30,4,2,2,0,3,0
123,2,72.25,12,29,4,3,0,0,0,0
181,2,76.5,8,6,4,2,0,0,1,0
56,0,120.0,6,8,3,1,0,0,0,1
0,2,18.6,10,27,4,3,0,1,5,1
0,1,158.0,8,18,4,1,0,3,0,0
138,1,135.45,8,22,4,3,1,0,3,0
72,2,149.4,5,2,4,1,1,0,3,1
207,0,85.5,10,28,4,2,2,3,0,0
433,0,70.0,9,8,3,3,0,0,0,0
46,2,123.3,3,31,4,2,0,0,3,1
136,1,86.36,8,11,4,3,2,0,0,1
81,0,135.0,10,21,4,2,1,0,0,0
11,1,124.33,6,21,4,3,0,0,0,1
45,1,93.6,12,25,4,1,2,0,0,1
121,0,90.0,6,24,3,2,1,0,0,0
90,1,129.02,4,23,4,3,2,1,3,1
279,0,110.0,10,12,4,3,0,0,0,0
115,0,76.0,2,27,3,3,2,0,0,1
70,1,85.0,7,11,3,5,1,0,0,1
83,1,0.0,12,17,1,0,0,0,0,1
146,1,116.45,7,31,4,3,2,0,0,1
62,0,112.2,4,11,4,4,1,0,3,1
118,0,110.0,6,6,3,2,1,0,0,1
38,0,85.5,6,18,3,1,1,0,0,1
65,1,107.1,9,6,4,2,0,0,0,1
255,1,80.85,6,3,4,1,0,0,0,0
25,2,127.67,4,16,4,1,2,0,0,1
36,1,140.4,4,29,4,2,0,0,3,1
301,1,115.0,7,30,3,1,1,1,0,0
74,0,87.0,9,18,3,2,0,1,0,1
127,0,90.0,4,28,3,3,1,0,0,1
188,0,130.0,6,15,3,2,0,0,0,0
19,0,80.0,10,6,3,3,0,0,0,1
9,1,90.0,8,19,4,4,0,0,0,1
20,1,127.0,2,14,4,1,2,0,3,0
168,0,85.0,4,22,3,2,1,0,0,0
304,0,89.0,11,3,3,3,0,0,0,0
273,0,109.0,7,17,3,2,0,1,0,0
80,0,72.25,7,24,3,2,2,0,0,1
193,0,70.44,7,9,4,1,2,0,0,0
197,1,72.25,8,24,3,3,0,0,0,1
443,0,65.0,4,29,3,1,0,0,0,0
7,1,89.0,11,3,4,2,0,0,0,1
24,2,155.0,5,21,4,1,1,0,3,1
11,1,139.0,6,30,4,3,0,3,0,0
71,1,84.15,4,23,4,3,2,3,0,0
24,1,139.0,8,21,4,0,1,3,0,0
219,0,76.67,9,4,3,2,1,0,0,1
9,0,58.0,2,8,3,2,1,3,0,1
5,0,90.0,10,19,3,2,1,0,0,1
8,1,204.0,6,30,4,4,2,1,3,1
231,2,96.9,8,23,3,5,2,0,0,1
46,1,75.0,3,29,3,5,0,0,0,1
3,2,128.0,8,7,4,0,1,3,0,1
24,0,78.0,8,19,4,3,2,0,0,0
5,1,65.0,8,2,2,1,0,0,0,1
103,0,80.0,5,4,3,3,0,0,0,1
74,0,80.0,9,18,3,2,0,1,0,1
5,0,80.0,2,12,4,1,0,3,0,1
22,0,137.0,3,31,4,3,2,0,0,0
0,1,111.0,6,14,4,1,0,0,0,1
0,2,95.0,11,14,2,4,1,0,0,1
49,0,60.0,11,9,3,3,1,0,3,1
266,1,96.3,12,30,4,2,0,0,0,1
48,0,67.5,3,5,4,1,2,3,0,0
225,1,129.63,10,31,4,3,1,1,3,0
32,1,214.21,10,29,4,1,2,0,6,1
31,0,75.0,9,16,3,2,1,0,0,1
64,0,75.0,11,18,3,2,1,0,0,1
120,0,140.7,7,28,4,3,0,0,3,1
3,0,65.0,6,6,2,0,1,0,0,1
192,0,164.63,10,28,4,3,2,0,5,0
119,1,161.1,11,10,4,1,0,3,0,1
335,0,80.0,10,13,3,3,0,0,0,1
19,1,68.26,11,20,4,5,2,0,0,1
24,1,112.0,1,2,3,1,1,0,5,1
36,0,112.0,10,13,3,3,0,1,0,1
9,2,177.0,6,17,4,2,0,0,3,1
47,0,69.53,2,20,4,1,0,0,1,1
162,1,130.05,7,6,4,4,0,0,3,0
59,0,128.69,4,28,4,3,2,0,3,0
39,0,117.9,7,2,4,1,2,0,0,0
15,1,109.0,9,11,4,0,2,0,0,1
24,0,91.0,2,11,4,3,1,0,0,0
28,0,100.0,5,19,2,2,0,0,0,0
22,1,156.0,5,21,4,1,0,0,3,1
2,1,75.0,2,8,4,1,1,3,0,1
32,0,137.52,8,21,3,1,2,0,4,1
6,1,91.0,2,16,4,1,0,0,0,0
0,0,108.57,6,11,4,1,1,0,0,1
39,0,85.5,9,4,4,2,2,0,0,1
310,1,96.3,10,26,4,2,0,0,0,0
0,0,0.0,7,4,1,1,1,0,0,1
292,0,109.0,7,21,3,2,0,1,0,0
82,1,99.45,4,8,4,2,2,0,3,1
44,0,75.0,2,17,3,3,0,0,0,1
48,1,88.5,4,17,4,1,2,3,0,1
83,1,96.3,4,7,4,2,0,0,0,1
134,1,94.5,7,17,4,0,1,3,0,0
119,0,90.9,4,15,4,2,0,0,0,1
1,1,0.0,8,12,1,2,0,0,0,1
27,0,69.0,12,9,4,4,1,0,0,1
83,2,112.59,9,28,4,1,0,3,0,1
19,1,170.33,6,2,4,3,0,0,3,1
224,0,60.0,10,2,3,2,1,0,0,1
90,0,78.63,4,21,3,3,0,0,0,1
60,0,76.5,3,10,4,1,0,3,0,0
102,0,101.5,10,16,3,2,0,1,0,0
132,0,90.95,6,28,4,4,0,0,0,1
42,2,126.0,10,3,4,2,1,0,0,1
128,0,103.5,7,7,4,3,0,3,0,0
85,0,90.0,9,9,2,2,0,0,0,1
78,1,120.28,5,23,4,3,1,3,0,1
55,1,142.2,8,30,4,3,0,0,3,1
77,2,72.25,11,16,4,4,1,0,0,0
68,2,220.0,11,7,4,3,1,0,4,1
6,1,101.73,8,26,4,3,2,0,3,1
8,0,0.0,10,6,1,1,0,0,0,1
141,1,85.5,8,5,4,2,0,0,0,1
0,2,140.0,10,29,4,1,1,3,0,1
69,2,135.9,8,16,4,3,0,0,0,1
26,2,180.0,10,17,4,2,1,1,0,1
68,1,149.4,9,8,4,3,1,0,3,1
138,1,101.49,8,9,4,5,0,0,0,1
247,0,109.0,6,6,4,1,1,1,0,0
57,0,88.4,12,26,4,3,1,3,0,0
39,1,81.9,3,10,4,3,2,0,0,0
212,1,78.0,5,20,3,3,2,0,0,1
79,0,126.9,5,2,4,2,1,0,0,1
1,0,142.0,11,29,4,2,0,0,5,1
12,1,109.0,6,8,4,1,0,3,0,1
3,0,166.25,9,26,2,1,1,0,4,1
4,0,63.8,1,25,3,3,1,0,0,1
1,0,91.0,2,13,4,1,1,0,0,1
52,0,132.9,7,8,4,2,1,0,0,0
186,0,121.5,8,2,4,2,0,0,0,0
33,2,85.5,9,16,4,2,0,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
263,0,110.0,10,21,3,2,0,0,0,0
102,0,80.0,10,16,3,2,0,1,0,0
89,2,52.85,11,30,4,4,1,0,0,1
6,2,213.0,6,7,4,5,0,0,5,1
69,1,135.9,5,10,4,1,0,0,0,1
5,0,105.0,9,8,4,3,0,0,0,1
24,1,109.33,2,26,4,2,1,0,3,0
46,1,96.16,3,13,4,5,3,0,3,0
17,1,69.5,1,23,4,1,0,3,0,1
147,0,89.25,7,15,4,2,2,0,0,1
106,0,62.0,1,5,3,4,0,0,3,1
2,1,119.0,4,20,2,1,0,0,3,1
11,1,65.1,11,14,4,2,1,3,0,1
41,1,70.0,12,27,3,5,1,0,0,1
31,1,88.4,11,13,4,2,2,0,0,1
2,1,101.0,4,21,4,1,0,0,0,1
9,0,79.0,12,21,2,2,0,0,0,1
31,1,51.97,12,19,4,1,0,3,0,1
256,1,115.0,6,15,3,2,0,1,0,0
45,1,94.5,10,22,4,2,0,0,0,1
14,1,131.7,5,30,4,5,2,0,3,1
114,0,115.25,5,12,4,4,2,0,0,0
120,1,136.8,8,9,4,5,0,0,3,1
30,0,121.0,9,30,3,2,0,1,0,1
5,1,125.0,4,21,4,3,2,0,0,1
1,1,101.0,4,8,4,1,0,0,0,1
218,2,106.1,10,7,4,2,1,0,0,0
48,1,89.3,2,23,4,2,0,0,0,1
0,0,119.0,7,24,4,0,2,3,0,1
145,0,94.5,8,29,3,1,2,1,0,1
37,0,69.53,2,13,4,1,0,0,1,1
110,0,70.0,12,9,3,4,0,0,0,1
208,1,96.3,9,1,4,1,0,0,0,0
37,0,105.0,10,13,3,3,0,0,0,1
214,1,105.3,8,4,4,2,0,0,3,0
85,0,157.25,3,24,4,3,2,0,5,0
35,1,79.0,12,14,2,1,0,0,0,1
1,0,98.0,8,8,4,3,2,0,0,1
13,2,90.0,8,18,4,2,0,0,0,1
10,1,152.0,9,17,4,1,0,0,0,1
277,0,80.0,9,5,3,5,2,0,0,0
107,0,127.93,5,28,4,2,2,0,0,0
6,0,65.0,10,10,3,1,2,0,0,1
30,0,88.4,3,4,4,2,0,0,0,1
59,0,75.0,11,11,3,2,0,0,0,1
27,1,97.92,10,13,4,4,0,0,0,1
67,0,75.65,4,1,3,2,1,3,0,1
2,0,100.0,6,1,3,1,0,0,0,1
82,0,85.5,6,23,4,1,0,3,0,0
59,0,81.0,1,28,3,1,0,0,0,1
21,2,104.0,11,25,4,2,1,0,0,1
60,0,111.6,8,28,4,2,2,0,3,1
6,0,162.0,8,16,4,0,1,0,5,0
42,0,118.8,4,23,4,1,2,0,3,1
29,2,131.72,7,16,4,3,2,0,0,1
8,2,126.0,9,20,4,1,2,0,0,1
99,0,81.0,2,19,2,1,0,0,0,1
26,0,120.0,6,8,3,1,0,0,0,1
138,0,94.5,8,22,3,1,2,1,0,1
16,0,129.0,6,17,4,2,1,3,0,0
0,3,107.0,10,19,2,4,0,0,0,1
183,1,137.7,7,26,4,2,0,0,3,0
0,2,150.0,8,17,4,1,0,0,0,1
9,2,131.0,5,31,4,1,0,0,0,1
29,1,102.0,4,14,4,3,0,3,0,1
180,0,96.3,7,23,4,1,1,0,1,0
110,1,108.0,10,12,4,1,0,3,0,0
9,0,95.0,10,30,3,1,0,0,0,1
64,0,137.7,7,25,4,0,1,0,3,1
84,1,135.31,5,22,4,3,2,0,0,0
19,0,130.0,5,2,4,2,1,0,0,1
120,1,103.5,5,2,4,1,1,3,0,1
19,1,90.98,9,21,4,3,1,0,3,1
212,1,67.5,11,18,4,2,0,3,0,0
0,0,135.0,5,24,4,1,0,0,0,0
1,0,120.0,10,27,4,1,0,0,0,1
116,0,82.0,2,28,3,1,2,0,0,1
18,0,135.0,5,13,4,1,0,0,0,0
32,0,143.28,11,8,4,2,0,0,0,0
146,0,75.0,12,29,3,3,0,0,0,1
41,1,71.52,2,22,4,2,1,0,1,1
164,0,100.0,10,2,3,2,0,0,0,0
57,0,130.05,4,5,4,4,0,0,3,0
5,1,74.8,3,6,4,1,2,0,0,1
150,2,131.75,7,14,4,8,2,0,3,0
39,0,101.5,8,14,3,2,0,1,0,1
19,1,130.0,2,19,4,2,2,0,3,1
6,1,80.0,8,10,4,5,1,3,0,1
38,1,136.8,9,7,4,3,0,0,3,1
77,2,128.7,4,14,4,3,0,0,3,1
65,1,94.5,7,23,4,1,1,3,0,1
386,1,90.0,10,23,3,0,2,1,0,0
280,0,110.0,9,19,4,2,1,0,0,0
65,0,100.0,10,2,3,2,0,0,0,1
126,1,100.73,7,25,4,2,1,0,0,1
179,0,88.76,8,25,4,3,0,0,1,0
212,0,78.0,5,20,3,3,2,0,0,1
81,0,72.25,9,6,3,5,2,0,0,1
9,0,68.0,12,16,3,2,1,0,0,1
82,0,80.75,5,17,3,2,0,0,0,1
20,0,67.0,10,13,2,1,0,0,0,1
13,0,85.0,3,20,3,0,1,0,0,1
149,1,99.45,7,12,4,4,0,0,0,1
12,0,161.0,12,10,4,1,0,0,3,1
24,0,156.0,4,29,4,2,2,0,3,1
6,0,70.0,2,21,3,3,2,0,0,1
270,1,80.0,4,20,3,4,0,0,0,1
9,1,89.0,1,4,4,0,1,0,0,1
0,0,65.0,5,4,2,2,0,0,0,1
119,0,0.0,6,7,4,0,0,0,0,1
38,0,168.3,8,17,4,1,0,0,3,1
13,0,96.0,4,26,3,3,0,1,0,1
276,0,61.0,5,13,3,3,2,0,0,0
187,1,90.95,8,25,4,4,2,0,0,1
78,2,151.2,10,7,4,2,1,0,3,1
75,0,67.5,3,15,4,2,0,3,0,1
66,1,87.3,9,2,4,2,1,3,0,1
28,0,110.0,11,2,4,1,0,3,0,0
213,0,130.0,6,7,3,3,0,0,0,0
46,3,93.6,11,18,4,2,0,0,0,1
12,1,103.84,10,31,4,2,2,0,3,1
137,1,136.34,8,4,4,3,1,0,3,1
39,0,87.0,8,14,3,2,0,1,0,1
51,0,60.0,11,8,3,2,2,0,3,1
14,1,110.0,6,26,4,0,1,0,0,1
113,2,63.49,4,4,4,3,1,0,0,1
4,1,72.0,3,23,3,1,0,0,0,1
57,1,85.85,3,30,4,4,0,0,0,1
82,1,149.4,9,15,4,3,0,0,3,0
258,0,110.0,10,16,3,0,1,0,0,0
96,0,94.5,7,11,3,1,2,1,0,1
17,1,101.0,6,13,4,0,1,0,0,1
99,2,161.1,11,7,4,2,1,3,0,1
113,0,100.0,5,31,2,3,0,0,0,0
37,1,89.1,6,27,4,0,1,3,0,1
171,1,123.3,10,30,4,0,2,0,3,0
21,2,105.0,9,4,4,2,2,0,0,1
109,3,146.7,8,6,4,1,0,0,3,1
57,0,76.76,3,30,4,4,0,3,0,0
25,1,85.0,10,18,3,3,0,0,0,1
20,1,77.77,4,17,4,1,2,0,0,1
28,0,82.65,10,15,4,3,0,0,0,1
177,1,130.05,8,3,4,4,1,0,0,0
137,0,100.8,8,23,4,4,0,0,0,0
195,2,112.2,8,17,4,5,2,0,3,0
63,0,118.43,9,24,3,4,2,0,0,1
130,1,118.8,9,18,4,0,1,3,0,0
86,0,87.5,9,24,3,2,0,0,0,1
120,0,72.76,5,12,4,1,0,3,0,1
29,2,152.0,10,5,4,2,0,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
158,1,168.3,7,1,4,2,1,0,5,0
125,1,117.0,8,21,4,3,2,0,3,1
114,0,140.4,5,24,4,3,0,0,3,1
266,0,80.75,10,7,3,3,2,0,0,1
122,0,85.0,4,15,3,2,0,0,0,1
173,1,98.1,10,1,4,1,2,3,0,1
1,1,90.33,1,17,4,4,2,0,0,1
23,0,95.0,10,26,3,1,0,0,0,1
28,0,121.47,10,8,4,1,1,0,3,1
37,0,71.55,2,12,4,2,1,0,1,1
19,0,167.0,4,27,4,1,0,0,3,0
153,2,134.3,7,21,4,3,1,0,3,0
75,0,105.0,10,30,3,0,2,1,0,0
12,1,100.0,9,14,2,2,0,3,0,1
23,0,159.0,6,1,4,2,0,0,3,0
2,0,0.0,12,9,1,1,0,0,0,1
5,0,131.0,4,21,4,2,0,0,3,0
58,3,159.3,5,13,4,2,0,0,3,1
52,2,159.3,5,28,4,1,1,0,3,1
15,1,107.99,11,5,4,4,2,0,0,1
42,2,147.9,8,27,4,4,2,0,3,1
141,1,111.15,6,5,4,0,2,0,0,1
100,1,140.0,9,28,3,4,0,1,0,1
25,1,93.0,2,11,4,3,0,0,0,1
23,0,125.0,4,10,4,2,2,0,3,1
28,1,115.03,4,17,4,1,2,0,0,0
29,0,89.93,3,4,4,2,1,0,0,1
8,0,95.0,4,5,4,1,0,0,0,0
280,0,100.0,9,19,3,2,1,0,0,0
80,3,121.55,4,25,4,3,1,0,3,1
8,0,109.25,10,28,4,4,0,3,0,1
6,0,79.0,8,17,2,1,0,0,0,1
141,0,75.0,6,3,3,2,1,0,0,0
148,1,115.6,12,23,4,2,2,0,3,1
155,2,85.5,8,26,4,2,1,3,0,1
35,1,125.1,6,26,4,2,2,0,0,1
60,0,68.0,12,27,3,3,2,0,0,1
257,0,101.5,7,1,3,2,0,1,0,0
12,1,90.0,8,31,4,2,1,0,0,1
126,0,89.25,5,15,4,2,2,3,0,0
2,3,139.0,10,27,4,2,0,3,0,1
191,0,132.0,6,3,4,2,1,0,0,0
127,1,94.7,3,19,4,5,2,0,1,0
0,0,106.0,2,13,4,1,1,0,3,0
47,1,112.5,3,18,4,2,0,0,3,0
45,2,90.0,11,4,4,2,1,0,0,1
93,2,177.3,9,27,4,3,0,0,3,0
3,0,159.0,5,19,2,1,0,0,4,1
74,0,109.0,9,18,3,1,0,1,0,1
14,2,186.0,5,12,4,3,0,0,3,1
88,0,112.2,10,5,3,1,1,1,0,1
185,2,113.4,10,10,4,3,1,0,0,0
79,0,95.0,6,24,3,2,0,0,0,1
196,0,139.5,8,21,4,0,2,1,0,0
45,1,95.1,6,26,4,1,2,3,0,1
6,0,104.0,4,18,4,1,1,0,0,1
4,0,132.13,9,8,4,6,2,0,0,1
26,1,134.0,10,2,4,0,2,3,0,1
32,0,147.9,12,2,4,2,2,0,5,0
443,0,60.0,4,29,3,1,0,0,0,0
0,0,124.0,9,8,4,1,0,0,0,1
259,0,90.0,5,5,4,3,0,0,0,0
5,0,89.0,3,23,4,1,0,3,0,0
45,1,207.9,9,15,4,3,0,0,5,0
19,0,116.1,10,2,4,1,2,3,0,0
34,1,131.4,4,2,4,1,1,0,3,1
124,0,143.1,9,20,4,5,1,0,3,0
105,0,138.55,7,2,4,2,2,0,3,0
69,1,74.8,11,23,4,4,0,0,0,0
79,2,137.7,7,19,4,2,0,0,0,1
40,1,6.0,1,14,4,3,0,0,1,1
131,2,76.23,8,5,4,2,0,3,0,1
102,0,109.0,10,16,3,2,0,1,0,1
45,2,96.9,12,12,4,3,1,0,3,1
6,1,75.0,3,20,3,0,2,0,0,1
0,0,62.0,10,30,3,5,2,0,0,1
15,0,102.0,12,29,4,3,1,3,0,1
18,0,88.0,2,19,4,2,0,3,0,1
126,1,93.17,8,6,4,1,2,3,0,1
105,0,75.0,4,6,4,1,0,0,0,0
54,0,65.0,11,18,2,1,0,0,0,1
27,0,120.0,6,9,3,1,0,0,0,1
130,1,94.5,5,22,4,1,2,3,0,1
292,0,86.7,12,13,4,4,0,0,3,0
18,1,83.04,12,2,4,2,2,3,0,1
75,1,140.4,5,3,4,2,0,0,3,0
320,1,115.0,8,18,4,2,0,1,0,0
16,0,104.67,11,18,4,2,1,0,0,1
4,1,160.5,6,18,4,1,1,0,3,1
55,0,159.3,6,2,4,2,0,0,3,0
327,0,88.0,9,9,3,4,2,1,0,1
216,1,78.3,12,4,4,1,2,0,0,1
46,0,86.4,12,7,4,3,0,0,0,0
112,0,132.6,6,9,4,3,1,0,3,0
51,1,69.12,9,30,4,6,2,0,0,1
0,1,89.0,8,8,4,1,0,3,0,1
62,1,76.91,4,25,4,3,1,0,0,1
2,0,85.0,10,13,3,1,0,0,0,1
110,1,113.76,7,19,4,4,0,0,3,1
221,1,90.95,8,14,4,5,4,0,0,1
11,0,88.5,10,23,3,2,2,0,0,1
32,0,73.0,11,20,3,2,0,0,0,1
120,0,143.1,9,20,4,5,1,0,3,0
87,1,95.7,12,29,4,3,0,0,1,1
11,2,155.0,10,9,4,1,0,0,3,1
193,0,95.2,8,26,4,2,2,0,0,0
27,1,126.0,4,12,4,3,0,0,3,1
0,1,0.0,3,30,1,1,0,1,5,1
162,0,115.0,10,14,3,2,2,0,0,0
39,0,124.67,11,12,4,4,2,0,3,0
1,0,0.0,3,2,4,1,0,0,0,1
31,0,125.1,5,17,4,2,0,3,0,0
9,1,89.0,1,12,4,4,0,0,0,1
133,1,84.33,3,11,3,2,1,0,0,1
23,0,66.0,2,7,3,1,2,0,0,1
160,1,72.25,8,7,3,0,2,0,0,1
63,0,112.59,8,3,4,3,0,3,0,0
4,0,89.0,1,6,4,4,0,0,0,1
73,1,149.4,9,19,4,3,1,0,3,0
326,2,67.5,11,24,4,3,0,3,0,0
200,3,76.5,8,22,4,1,0,0,0,1
3,0,126.0,10,11,4,0,1,0,0,1
27,3,110.0,8,31,4,2,0,0,0,1
193,1,99.45,8,18,4,3,1,0,0,1
3,1,201.0,8,1,4,0,1,0,5,1
317,1,106.2,9,1,4,3,0,0,0,0
22,0,140.0,5,20,3,2,0,0,0,1
338,0,87.3,12,15,4,3,0,0,3,0
314,0,75.0,10,12,4,3,0,0,0,0
145,0,94.5,8,29,3,1,2,1,0,0
11,0,95.0,9,11,3,1,2,0,0,1
5,1,98.0,8,13,4,3,0,0,0,0
0,0,158.0,5,9,4,1,1,0,3,1
9,0,95.0,4,20,3,3,0,0,0,1
34,0,99.9,4,12,3,1,0,0,0,1
109,1,85.0,3,20,3,1,2,0,5,1
70,0,121.5,8,31,4,2,0,0,0,0
50,2,126.0,10,16,4,2,2,0,0,1
285,0,100.0,10,3,3,3,1,0,0,0
8,0,119.0,5,25,4,1,0,3,0,0
8,1,98.0,6,1,2,1,0,0,0,1
88,1,68.0,7,18,4,2,2,0,0,0
103,0,115.0,4,19,3,2,0,0,0,0
45,0,113.62,4,10,4,4,2,0,3,0
110,1,114.3,7,8,4,2,1,0,0,1
4,0,149.0,9,5,4,1,1,3,0,0
105,1,120.6,7,31,4,3,2,0,3,1
148,0,67.0,12,30,3,4,1,0,0,1
8,0,107.0,6,26,3,1,2,0,3,1
88,1,90.3,4,4,4,2,1,0,0,1
218,2,116.1,9,29,4,1,0,3,0,0
0,0,89.0,3,27,4,0,1,3,0,1
24,0,135.0,5,11,4,4,0,0,0,1
120,0,125.55,8,15,4,3,1,0,3,0
35,1,97.0,12,26,4,1,0,0,3,1
11,0,189.0,3,18,4,2,0,0,5,0
35,3,103.05,10,8,4,2,0,0,0,1
57,2,130.5,9,6,4,4,0,0,3,1
22,0,191.0,8,21,4,3,2,0,3,0
123,2,116.95,5,22,4,2,2,0,0,1
181,0,120.0,10,11,3,2,0,0,0,0
192,0,19.15,9,25,3,3,2,0,0,0
88,1,126.9,4,30,4,1,0,0,0,1
39,0,109.0,8,14,3,2,0,1,0,1
15,0,99.0,9,12,4,0,1,0,0,0
77,0,198.9,8,9,4,2,0,0,5,1
72,1,67.22,3,31,4,3,0,0,0,1
180,0,88.77,8,27,4,1,1,0,1,0
20,0,58.0,12,27,3,1,2,0,0,1
19,2,74.8,11,24,4,3,1,3,0,1
256,1,115.0,6,15,4,2,0,1,0,0
130,0,104.55,5,12,4,3,1,0,0,0
54,2,156.93,7,10,4,0,1,0,5,1
185,0,90.95,7,18,4,5,2,0,0,0
35,1,82.45,1,29,4,2,1,0,3,1
245,0,110.0,7,6,3,4,2,0,0,0
9,2,89.55,11,26,4,1,1,0,0,1
26,0,127.2,9,5,4,3,1,0,0,0
14,0,100.0,10,15,3,1,0,0,0,1
49,1,98.82,12,1,4,2,0,0,0,1
4,2,0.0,12,5,1,1,0,0,0,1
9,0,86.25,1,17,4,0,2,0,1,1
218,0,86.62,8,3,4,3,0,0,1,0
127,0,80.0,4,28,3,3,1,0,0,1
87,2,185.85,6,2,4,3,0,1,0,1
100,2,130.5,6,28,4,1,0,0,0,0
112,1,198.9,8,14,4,0,2,0,5,1
186,0,80.0,4,22,3,2,1,0,0,1
163,0,96.88,9,10,3,5,2,0,0,1
130,2,67.5,3,25,3,2,1,0,0,1
72,0,67.5,3,16,4,1,0,3,0,0
36,1,116.1,5,21,4,1,1,3,0,1
204,1,119.85,9,7,4,10,4,0,0,0
